file,class,method,variable,usage
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/bshclient/src/main/java/org/apache/jmeter/util/BeanShellClient.java,org.apache.jmeter.util.BeanShellClient,main/1[java.lang.String[]],MINARGS,3
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/bshclient/src/main/java/org/apache/jmeter/util/BeanShellClient.java,org.apache.jmeter.util.BeanShellClient$SockRead,SockRead/1[java.io.InputStream],is,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/bshclient/src/main/java/org/apache/jmeter/util/BeanShellClient.java,org.apache.jmeter.util.BeanShellClient$SockRead,run/0,is,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testSum/0,result,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testSum/0,function,2
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testSum/0,params,2
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testSumVar/0,result,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testSumVar/0,function,2
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testSumVar/0,vars,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testSumVar/0,params,3
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testReplace1/0,result,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testReplace1/0,function,2
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testReplace1/0,params,2
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testParameterCount/0,function,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testReplace2/0,result,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testReplace2/0,function,2
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testReplace2/0,vars,2
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testReplace2/0,params,3
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,setUp/0,result,3
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,setUp/0,function,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,setUp/0,vars,2
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,setUp/0,jmctx,3
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,setUp/0,params,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testSumWithVar/0,result,1
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testSumWithVar/0,function,2
/home/kiel/Documentos/padrões/Projeto/jMete/jmeter/src/functions/src/test/java/org/apache/jmeter/functions/TestJexl2Function.java,org.apache.jmeter.functions.TestJexl2Function,testSumWithVar/0,params,2
